timestamp,latitude,longitude,height,velocity,direction,horizontal_accuracy,vertical_accuracy
1.362.17,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.368.18,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.374.18,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.380.17,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
1.386.18,52.38,4.85,-1.08,-1.00,-1.00,65.00,65.00
1.392.18,52.38,4.85,-1.09,-1.00,-1.00,65.00,65.00
1.398.18,52.38,4.85,-1.29,-1.00,-1.00,65.00,65.00
1.404.18,52.38,4.85,-1.22,-1.00,-1.00,65.00,65.00
1.410.18,52.38,4.85,-0.95,-1.00,-1.00,65.00,65.00
1.416.18,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.422.17,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.428.18,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.434.18,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
1.440.17,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.446.24,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.446.75,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
1.452.38,52.38,4.85,-1.30,-1.00,-1.00,65.00,65.00
1.458.39,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
1.464.39,52.38,4.85,-1.13,-1.00,-1.00,65.00,65.00
1.470.39,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.476.39,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.482.38,52.38,4.85,-1.16,-1.00,-1.00,65.00,65.00
1.488.39,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
1.494.39,52.38,4.85,-1.15,-1.00,-1.00,65.00,65.00
1.500.39,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.506.39,52.38,4.85,-1.33,-1.00,-1.00,65.00,65.00
1.512.39,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.518.39,52.38,4.85,-1.00,-1.00,-1.00,65.00,65.00
1.524.39,52.38,4.85,-1.14,-1.00,-1.00,65.00,65.00
1.530.39,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.536.39,52.38,4.85,-1.17,-1.00,-1.00,65.00,65.00
1.542.39,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
1.548.39,52.38,4.85,-1.03,-1.00,-1.00,65.00,65.00
1.554.39,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.560.39,52.38,4.85,-1.38,-1.00,-1.00,65.00,65.00
1.566.39,52.38,4.85,-1.03,-1.00,-1.00,65.00,65.00
1.572.39,52.38,4.85,-1.23,-1.00,-1.00,65.00,65.00
1.578.39,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.584.39,52.38,4.85,-1.24,-1.00,-1.00,65.00,65.00
1.590.39,52.38,4.85,-1.28,-1.00,-1.00,65.00,65.00
1.596.39,52.38,4.85,-1.02,-1.00,-1.00,65.00,65.00
1.602.39,52.38,4.85,-1.08,-1.00,-1.00,65.00,65.00
1.608.39,52.38,4.85,-1.01,-1.00,-1.00,65.00,65.00
1.614.39,52.38,4.85,-1.34,-1.00,-1.00,65.00,65.00
1.620.39,52.38,4.85,-1.21,-1.00,-1.00,65.00,65.00
1.626.47,52.38,4.85,-1.19,-1.00,-1.00,65.00,65.00
